"ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
234,28,19721,35,0.758869996,0.9602573353,7489,0.8634816096,0,0,2,1.7,0
235,7,5230,5,0.8791208791,0.8075396825,2644,0.6572871573,2279,31889,4,2.7,0
236,24,14708,16,0.6533975659,1,550,1,0,0,2.7,1.3,0
237,117,35811,49,0.8806977738,1,967,1,0,0,5,4,0
238,178,53626,48,0.7923895947,0.9167372454,4622,0.8096764347,36,5509,23.7,10.7,0
239,96,30277,25,0.7014764677,0.8432101439,23514,0.768302008,0,0,10.3,2.3,0
240,0,1038,1,0.6666666667,1,1981,0.5260217114,1021,55317,2.3,2,0
241,216,22030,89,0.7845273468,0.9971387697,2181,1,0,0,5.3,2.3,0
242,103,56458,75,0.747880859,0.9921456067,20650,0.9978647853,0,0,4.7,2,0
243,3,6791,5,0.6953463203,0.7050865801,1061,0.577167019,600,23377,1.3,1.7,0
244,30,29149,39,0.8313237632,0.9942528736,3467,0.96,284,460,7,4.3,0
245,18,38338,33,0.7676611036,0.8731514977,10228,0.6183088213,5,1393,13.7,4.3,0
246,27,26072,18,0.8386515308,0.8425318197,11594,0.9791069574,12,20,5.3,2,0
247,9,14540,16,0.81360487,0.9559854219,5761,0.9649302707,12,20,3.3,2.3,0
248,129,133144,118,0.7309863406,0.9642236596,9414,0.9372126467,874,1417,9.3,3.7,0
249,92,102750,51,0.7337686567,0.755002764,17397,0.3808501735,11305,18333,20,7.7,0
250,500,61504,220,0.7667398542,1,10531,0.9334886128,0,0,20.3,6.3,0
251,260,20232,21,0.6646893346,0.99543379,4169,0.9924242424,596,16780,6.7,3.7,0
252,43,13969,15,0.6606425703,0.9855072464,400,0.8333333333,1167,1893,8,4,0
253,112,29691,16,0.7853046595,0.7797491039,2319,0.4088563325,224,24878,6,4.7,0
254,24,15526,20,0.8603514133,0.9756302521,5522,0.897710133,174,19957,2.7,1.7,0
255,5,2940,2,0.4166666667,0.5,2613,0.6304573805,1293,45074,3,1.7,0
256,0,0,0,0,0,0,0,1843,33361,1.3,1.3,0
257,10,14723,6,0.6896929825,0.6096491228,4567,0.3117655699,3,16498,3,2,0
258,217,26220,45,0.7831254401,1,5908,1,69,9149,8.3,3.3,0
259,132,20760,6,0.661976912,0.9419191919,650,0.15,0,0,2,1,0
260,63,34342,63,0.7474689325,0.9879994642,4175,1,0,0,6,4.7,0
261,17,10362,6,0.7650793651,0.6888888889,1461,0.3020833333,1501,2434,4,3,0
262,374,12503,76,0.7454587249,1,2511,1,404,25105,9.7,8.3,0
263,6,3315,8,0.6842046842,0.9584859585,31283,0.692460544,0,0,11,8,0
264,1,2160,2,0.7777777778,0.5015873016,1192,0.504984051,2286,60691,3.7,2.3,0
265,63,14526,14,0.6655176584,0.8828253507,2064,0.8888888889,0,0,5.7,3.3,0
266,29,20759,23,0.7256578947,0.9824561404,161,1,12,20,5,2.3,0
267,0,0,0,0,0,0,0,662,22223,1.3,1,0
268,373,70304,125,0.7655661264,0.9715420034,3136,0.9196265938,12,20,9.3,4,0
269,3,2005,4,0.5047619048,1,4834,0.9796837411,2394,92663,11.3,5,0
270,247,26093,52,0.7369289551,0.993959869,2353,1,0,0,9.3,3,0
271,6,7913,4,0.6960784314,0.8882352941,1394,0.5236842105,1705,72995,2.7,2,0
272,393,44236,141,0.8334067287,0.9945945713,7372,0.6469360069,8,4794,3,1.7,0
273,41,15764,9,0.7468457468,1,5192,0.9978540773,7,4567,6,1.3,0
274,13,5297,12,0.8389484911,0.9903381643,1652,0.9931972789,559,11904,4.7,2.3,0
275,248,30315,37,0.714498664,1,6786,0.818837021,1679,40537,13.7,7,0
276,113,21745,38,0.6326597621,0.9982363316,1464,0.8475355054,0,0,5.3,3.3,0
